"ENTIDAD","MUN","LOC","co_mean","no_mean","no2_mean","nox_mean","o3_mean","pm10_mean","pm25_mean","so2_mean"
09,009,0348,0.0394,33.5388,16.6142,45.5215,39.8910,44.4166,21.3386,10.2026
09,009,0351,0.0374,34.7145,16.4088,45.9336,40.0066,43.9273,21.2159,10.2589
09,009,0352,0.0292,31.0017,17.9531,45.5325,38.1438,43.4439,21.0033,10.1407
09,009,0354,0.0321,31.1694,17.6943,44.3154,38.5621,43.8528,21.1307,10.1430
09,009,0355,0.0420,35.1758,16.1365,45.5333,40.3076,44.3629,21.3337,10.2482
09,009,0356,0.0362,36.4030,16.1267,46.1063,39.9488,43.7648,21.1567,10.3128
09,009,0358,0.0509,30.5376,17.6206,44.2066,38.2525,46.2448,21.7157,10.0185
09,009,0359,0.0342,26.7595,19.0712,44.4156,37.4575,44.5283,21.2089,9.9522
09,009,0360,0.0444,32.3432,16.9690,44.9099,39.2679,45.2478,21.5186,10.1257
09,009,0361,0.0293,29.0138,18.6466,45.1825,37.5358,43.4906,20.9633,10.0555
09,009,0362,0.0293,29.6610,18.4367,45.3356,37.6960,43.4410,20.9670,10.0839
09,009,0363,0.0474,31.8364,17.1396,44.7567,39.0245,45.4776,21.5649,10.0991
09,009,0364,0.0474,31.5230,17.2274,44.7713,38.9916,45.4825,21.5659,10.0904
09,009,0365,0.0268,30.5962,18.4624,45.6996,37.3985,42.7784,20.7895,10.1175
09,009,0366,0.0356,29.3324,18.0643,45.1868,38.4029,44.7048,21.3348,10.0539
09,009,0367,0.0272,27.9421,19.2543,43.6091,36.9527,43.0284,20.7859,9.9978
09,009,0369,0.0448,29.7400,17.7971,44.7686,38.6530,45.4302,21.5384,10.0405
09,009,0370,0.0422,29.0922,18.0273,44.7654,38.4736,45.3713,21.5121,10.0216
09,009,0371,0.0383,26.5875,18.9432,44.5513,37.6798,45.2887,21.4279,9.9304
09,009,0372,0.0281,29.2827,18.6371,45.3091,37.4797,43.3114,20.9162,10.0662
09,009,0373,0.0281,29.1542,18.6809,45.2437,37.4464,43.3161,20.9138,10.0604
09,009,0374,0.0444,33.0539,16.7523,45.0446,39.5012,45.0628,21.4809,10.1548
09,009,0380,0.0306,31.5114,17.7377,44.5061,38.3846,43.5077,21.0348,10.1607
09,009,0384,0.0293,32.3336,17.4868,44.6235,38.6093,43.4295,21.0289,10.1933
09,009,0385,0.0355,34.4924,16.4976,45.9657,39.8965,43.8953,21.2040,10.2539
09,009,0388,0.0321,31.6322,17.5100,44.3342,38.7688,43.8885,21.1519,10.1596
09,009,0389,0.0280,31.2476,18.0173,45.6993,37.9591,43.1605,20.9230,10.1508
09,009,0390,0.0323,28.3190,18.6096,44.8218,37.7759,44.1766,21.1514,10.0237
09,009,0391,0.0323,28.0942,18.6997,44.7954,37.6918,44.1588,21.1392,10.0142
09,009,0392,0.0307,29.8081,18.2688,45.2530,37.9345,43.6808,21.0442,10.0903
09,009,0395,0.0258,32.2531,18.1057,46.1051,37.5173,42.4388,20.7265,10.1841
09,009,0403,0.0249,31.0139,18.5864,44.3319,37.0953,42.3357,20.6650,10.1248
09,009,0407,0.0251,29.8399,19.0408,42.4296,36.7842,42.2231,20.5958,10.0643
09,009,0410,0.0364,26.4481,19.0769,44.2445,37.5192,44.9187,21.3156,9.9330
09,009,0413,0.0342,27.0856,18.9781,44.4941,37.5173,44.4372,21.1919,9.9676
09,009,0414,0.0417,34.0263,16.4447,45.3056,39.9371,44.7065,21.4090,10.1999
09,009,0415,0.0445,30.7432,17.4676,44.6989,38.8215,45.5805,21.5842,10.0633
09,010,0001,0.3254,11.1731,28.6460,52.4658,33.2415,42.8171,22.5776,7.9634
09,010,0213,0.0792,27.7779,22.9945,45.6728,37.3028,36.9304,19.3215,9.0086
09,010,0214,0.0964,25.8960,23.5986,47.0600,36.8055,37.2894,19.6787,8.8279
09,010,0215,0.0893,27.1174,23.2867,47.7891,37.0536,37.0212,19.4724,8.9114
09,010,0216,0.0749,27.2016,23.0157,44.9598,37.3667,37.0920,19.3704,9.0207
09,010,0217,0.1016,26.4063,23.4656,47.4712,36.9200,37.1746,19.5904,8.8637
09,011,0001,0.0911,22.1413,20.4709,43.3658,35.5926,49.2810,22.2764,9.5574
09,011,0011,0.0738,30.5491,17.9583,42.7593,36.7271,47.3273,21.8732,9.9400
09,011,0021,0.0645,26.7072,18.9436,43.1093,36.9731,47.8053,22.0262,9.8122
09,011,0024,0.0631,30.8976,17.7096,43.7797,37.4350,46.8165,21.7991,9.9874
09,011,0026,0.2090,21.4785,21.0490,49.9044,33.1944,51.9834,22.3559,9.2727
09,011,0069,0.0729,31.3416,17.8084,42.8135,36.6144,47.2469,21.8433,9.9627
09,011,0071,0.1201,22.2719,20.5432,49.6570,34.6531,50.2005,22.3419,9.4819
09,011,0072,0.1804,20.3114,21.3209,49.5002,33.5140,51.7181,22.4484,9.2669
09,011,0076,0.0678,31.3757,17.6948,43.0130,37.0390,46.9850,21.8102,9.9847
09,011,0081,0.0678,30.9313,17.7867,43.6027,37.0746,47.0419,21.8284,9.9709
09,011,0086,0.0729,31.6437,17.7565,42.8442,36.5630,47.2197,21.8320,9.9710
09,011,0087,0.0784,32.2444,17.7773,42.6908,36.0155,47.4201,21.8384,9.9649
09,011,0089,0.1536,15.2061,23.3499,48.0128,33.8303,51.4495,22.8259,9.0613
09,011,0094,0.0846,21.5916,20.6481,43.3162,35.6075,49.2355,22.2774,9.5406
09,011,0103,0.0678,31.1207,17.7871,42.9146,36.8953,47.1188,21.8334,9.9687
09,011,0104,0.0729,31.8648,17.6590,42.9313,36.7599,47.0619,21.8071,9.9884
09,011,0108,0.0686,30.2063,17.9995,42.7809,36.8940,47.2847,21.8765,9.9361
09,011,0110,0.1006,18.6435,21.7648,49.8685,34.9574,49.8208,22.4104,9.3740
09,011,0111,0.0678,31.0045,17.7469,43.6384,37.1704,46.9690,21.8172,9.9781
09,011,0113,0.0627,31.7776,17.5128,43.8700,37.4184,46.6818,21.7607,10.0168
09,011,0119,0.0517,26.8735,18.8037,43.6305,37.5888,47.0606,21.8914,9.8646
09,011,0126,0.1063,16.3390,22.8010,48.6198,34.3222,50.6511,22.6316,9.1947
09,011,0128,0.0517,27.8179,18.4676,43.9118,37.8467,46.7075,21.8168,9.9142
09,011,0129,0.1343,18.8928,21.6987,47.8827,34.2989,50.7968,22.5189,9.3055
09,011,0133,0.0708,26.4898,19.0435,42.9021,36.6896,48.0606,22.0629,9.7873
09,011,0134,0.1366,21.4802,20.9003,49.1611,33.9103,51.0720,22.3914,9.3714
09,011,0136,0.0708,25.4000,19.3959,44.6527,36.4988,48.3544,22.1227,9.7347
09,011,0137,0.0875,24.0892,19.8516,43.9165,35.8353,48.9941,22.2121,9.6447
09,011,0140,0.2628,19.4733,21.6954,49.1465,32.9140,52.7590,22.4464,9.1237
09,011,0141,0.2253,20.2475,21.4811,49.4215,32.8501,52.7690,22.3797,9.1469
09,011,0142,0.1474,22.6433,20.6113,49.5498,33.7238,51.0936,22.3294,9.4020
09,011,0145,0.1324,16.5394,22.6991,48.6608,34.2698,50.7614,22.6378,9.1968
09,011,0146,0.1432,17.3126,22.3415,49.0132,34.1683,50.9632,22.6190,9.2195
09,011,0148,0.1243,17.8037,22.1305,49.2266,34.2510,50.8535,22.5802,9.2524
09,011,0149,0.0559,26.5399,18.9257,43.5631,37.4953,47.2006,21.9213,9.8460
09,011,0150,0.0559,26.0098,19.1142,43.4246,37.3790,47.3617,21.9556,9.8195
09,011,0152,0.1565,20.4319,21.2205,48.8126,33.8928,51.2184,22.4495,9.3230
09,011,0153,0.1343,18.5127,21.8586,47.6802,34.0697,51.1094,22.5598,9.2610
09,011,0154,0.1343,18.3848,21.9018,47.6476,34.1537,50.9966,22.5602,9.2659
09,011,0155,0.1798,17.7469,22.1967,48.4622,33.4342,52.0339,22.6402,9.1377
09,011,0156,0.1549,18.4653,21.8850,49.4509,33.9569,51.2640,22.5704,9.2444
09,011,0159,0.1343,18.5183,21.8469,47.7314,34.2075,50.9221,22.5475,9.2784
09,011,0160,0.0627,31.7058,17.5725,43.1224,37.2397,46.8039,21.7786,10.0059
09,011,0161,0.0525,26.1206,19.0381,43.6459,37.5257,46.9822,21.8676,9.8439
09,011,0162,0.1432,17.1041,22.4336,48.9352,34.0588,51.1236,22.6479,9.1951
09,011,0163,0.0631,29.9162,17.9886,43.5948,37.2595,47.0914,21.8580,9.9446
09,012,0001,0.0449,17.2899,23.9118,46.3360,35.7650,42.0850,20.4472,9.2020
09,012,0019,0.0185,39.5956,18.5982,42.9905,35.4090,38.8578,19.7317,10.2643
09,012,0026,0.0264,30.3622,20.5392,44.5229,37.4946,38.6917,19.4154,9.7841
09,012,0027,0.0237,29.1104,19.8315,44.2256,36.4210,41.1473,20.2204,9.9653
09,012,0105,0.0276,33.2597,20.3750,45.0708,37.3396,37.7201,19.1288,9.8001
09,012,0112,0.0247,32.4154,20.2309,43.5881,37.1400,38.3805,19.3469,9.8571
09,012,0114,0.0276,33.5649,20.3997,45.1097,37.3613,37.5555,19.0740,9.7884
09,012,0124,0.0346,29.2729,21.3637,48.1913,38.0322,37.7073,19.1845,9.5280
09,012,0128,0.0199,35.1433,19.0980,43.8625,35.5136,39.8411,20.0051,10.1496
09,012,0130,0.0190,37.8317,18.8180,42.7727,34.9411,39.4617,19.9739,10.2283
09,012,0131,0.0187,38.4113,18.7287,42.8388,35.0905,39.2895,19.9059,10.2433
09,012,0132,0.0213,33.6954,19.3440,43.5845,35.8219,39.9155,19.9724,10.0911
09,012,0135,0.0340,30.8052,21.1355,47.1852,37.8859,37.4404,19.0720,9.5807
09,012,0144,0.0231,30.7061,19.4655,44.6280,36.2668,41.0256,20.2412,10.0382
09,012,0159,0.0232,30.6092,20.0521,44.7826,36.6673,39.7696,19.7930,9.9263
09,012,0161,0.0291,28.2232,21.0121,44.0963,38.0085,38.7706,19.4262,9.6621
09,012,0162,0.0198,36.5100,19.0676,42.5460,35.3359,39.3722,19.8795,10.1662
09,012,0168,0.0217,32.1276,19.3384,44.9293,36.0611,40.5979,20.1512,10.0754
